prefecture,h000_count,h001_count,h002_count,h003_count,h004_count,rehab_total_count,total_pop,aging_rate,pop_density,h000_rate,h001_rate,h002_rate,h003_rate,h004_rate,rehab_total_rate,hip_fracture_rate,hip_fracture_tha_rate,hip_fracture_hemi_rate
三重県,63877.0,109503.0,1460565.0,4027.0,554.0,1638526.0,1770254,29.728954150082416,306.5645624115723,3608.352247756537,6185.722500838862,82505.95677230498,227.48148005879384,31.294944115364235,92558.80794507456,242.73352863487384,48.58059916825495,75.92130846759844
京都府,178037.0,236202.0,1407252.0,10940.0,857.0,1833288.0,2578087,30.28020388761124,558.9712067993582,6905.779362760061,9161.909586449176,54585.12455165399,424.3456485370742,33.24170208375435,71110.40085148407,258.36986882133925,73.93078666468587,76.18051679404148
佐賀県,7505.0,256896.0,1207585.0,11374.0,201.0,1483561.0,811604,30.84915796373601,332.53055488406966,924.7120516902332,31652.87504743693,148789.9271073085,1401.4223685442655,24.76577247031804,182793.70234745025,299.5303128126525,87.60429963381156,77.00799897486952
兵庫県,256955.0,370306.0,3695638.0,5880.0,2826.0,4331605.0,5465002,28.93781191662876,650.5164849030236,4701.828105460894,6775.953604408562,67623.72639570855,107.59373921546596,51.71086854131069,79260.81271333479,265.2881005350044,71.96703679156933,74.08963436792887
北海道,103356.0,554782.0,3587036.0,17074.0,491.0,4262739.0,5224614,31.938455166257256,62.62736470231164,1978.2514076638008,10618.621777608832,68656.47873699377,326.7992621081672,9.39782345643142,81589.54900783101,249.2432933801425,90.95408770868048,54.587764761186186
千葉県,19728.0,445715.0,6207839.0,5486.0,1809.0,6680577.0,6284480,27.522977239166963,1218.4868572846726,313.91618717857324,7092.313126941291,98780.47189266256,87.29441417587454,28.78519782066297,106302.78081877896,206.30187382249605,68.64529762207852,57.61813228779469
和歌山県,21192.0,259849.0,901358.0,2118.0,336.0,1184853.0,922584,33.1553549595484,195.2703374853164,2297.0266122109206,28165.348629501485,97699.28808650486,229.572591764002,36.41944798522411,128427.6553679665,329.6176825091265,81.5101931097873,96.4681806751472
埼玉県,128760.0,278516.0,5167073.0,6494.0,440.0,5581283.0,7344765,26.806072079909978,1933.9780132973472,1753.0853607977926,3792.0341903382887,70350.41965263695,88.41671585135808,5.990661375823461,75989.94658100021,197.63736484421216,51.91452687730649,59.93384403721562
大分県,11660.0,309150.0,1201094.0,12285.0,185.0,1534374.0,1123852,33.346739606282675,177.24247566537764,1037.503158778914,27508.07045767592,106872.96903862788,1093.115463601969,16.461242227624275,136528.1193609123,285.8917366343611,65.2221110964789,81.23845488551873
大阪府,241083.0,557849.0,6177083.0,17543.0,4073.0,6997631.0,8837685,27.60649423463272,4638.425566309072,2727.8976338260527,6312.162065065682,69894.80842550962,198.50220957185056,46.08672972616698,79179.45706369937,252.58877183334772,78.18789649099283,73.94470384495487
奈良県,60366.0,142240.0,418333.0,1050.0,125.0,622114.0,1324473,31.79098403666968,358.84435943147275,4557.737303818198,10739.365770385655,31584.864319619955,79.2768142498941,9.437715982130252,46970.68192405583,293.09770754103704,81.61736781346241,90.75307688416449
宮城県,5351.0,84714.0,1072487.0,2972.0,168.0,1165692.0,2301996,28.02385408141456,316.11184501429506,232.45044735090764,3680.023770675536,46589.43803551353,129.1053503133802,7.298014418791345,50638.31561827214,186.92473835749496,64.76987796677318,46.22075798567852
宮崎県,33103.0,102716.0,876580.0,1977.0,37.0,1014413.0,1069576,32.72633267762179,138.2735074115539,3094.964733688864,9603.431640201352,81955.84044518576,184.83959999102447,3.459314719103645,94842.53573378608,292.07835628323744,78.16181365326074,79.0967635773428
富山県,42809.0,73868.0,393559.0,483.0,406.0,511125.0,1034814,32.37548003795852,243.62264897201013,4136.878704772065,7138.287653626642,38031.85886545794,46.675054647501874,39.23410390659578,49392.93438241075,276.47480610042,83.78317262812448,62.4266776444849
山口県,32673.0,200568.0,888749.0,4428.0,482.0,1126900.0,1342059,34.665018452989024,219.5583178187791,2434.5427436498694,14944.797508902366,66222.79646423891,329.94078501764824,35.914963500114375,83967.99246530891,305.20267737856534,77.26933018593073,87.25398808845215
山形県,13547.0,56446.0,557393.0,753.0,590.0,628729.0,1068027,33.56516267847161,114.55645355915117,1268.4136262472764,5285.072381128941,52189.03641949126,70.50383557719046,55.242049124226256,58868.26831156891,244.37584443089924,69.00574610941483,52.62039255561891
山梨県,14519.0,136950.0,770280.0,727.0,32.0,922508.0,809974,30.701479306743177,181.39418221070616,1792.5266736956987,16907.950131732625,95099.34886798836,89.75596747549922,3.9507440979587,113893.53238499012,273.8359502897624,60.00192598774776,70.37262924488934
岐阜県,89848.0,206079.0,1588166.0,5545.0,451.0,1890089.0,1978742,30.476838314444223,186.2995926106904,4540.662703879535,10414.647286002924,80261.3984036322,280.228549249978,22.79225892006133,95519.7292016847,229.89353841986477,44.01786589661512,67.11334777348436
岡山県,59735.0,197160.0,1344118.0,5511.0,903.0,1607427.0,1888432,30.91729011158464,265.4405966549204,3163.2063002533314,10440.407703322122,71176.40455150092,291.829411914223,47.81744854990807,85119.66541554051,280.49725910173095,81.0195972108077,68.78722665152888
岩手県,10372.0,45567.0,272031.0,646.0,447.0,329063.0,1210534,33.3632925634472,79.2493098204191,856.8119524110848,3764.206540254136,22471.983438713825,53.36487864033559,36.92585255763159,27183.29266257701,167.61197950656486,40.97365294985519,44.52580431445957
島根県,3867.0,90328.0,269418.0,0.0,102.0,363715.0,671126,33.80453148887094,100.0447209857698,576.1958261190894,13459.171601159842,40144.17560934906,0.0,15.198338315010892,54194.741374943,246.3024826932648,52.44916751846896,64.22042954676171
広島県,42016.0,199758.0,3061193.0,19865.0,1460.0,3324292.0,2799702,29.630367803430502,330.1679436484847,1500.731149243741,7134.973650767118,109339.95832413592,709.5398010216802,52.1484072233402,118737.3513323918,270.1001749471908,71.1861476685733,79.0441268392136
徳島県,11263.0,225121.0,635029.0,919.0,102.0,872434.0,719559,34.26167972327495,173.52360282148672,1565.2642799270109,31285.968211084848,88252.52689494537,127.71711562220749,14.1753490679708,121245.65185064742,300.0448886053819,76.43570575866607,84.35722435547328
愛媛県,23467.0,172886.0,1120246.0,1724.0,1252.0,1319575.0,1334841,33.65928975810602,235.1649610037719,1758.0370995496842,12951.804746782576,83923.55344194552,129.15395916067908,93.79394249951866,98856.34318993798,305.2798048606538,86.22749825634664,79.18546103992911
愛知県,211688.0,763702.0,8800339.0,36084.0,1409.0,9813222.0,7542415,25.25447088233676,1458.0152597973738,2806.63421463815,10125.430647876045,116678.0003486947,478.41440705662575,18.681019275656407,130107.16063754116,210.2774774392552,55.19452323957247,51.05791712601335
新潟県,40243.0,185319.0,691823.0,4575.0,743.0,922703.0,2201272,32.9253268110438,174.92375347460066,1828.1702579236007,8418.723356313985,31428.328711763013,207.8343793951861,33.7532117793712,41916.80991717516,233.6376422359436,66.32528828786266,61.73703204329133
東京都,183822.0,847518.0,11074270.0,16640.0,6370.0,12128620.0,14047594,22.72285204142432,6402.644448799697,1308.56572306973,6033.189740534927,78833.92700557831,118.4544484984404,45.3458435658092,86339.48276124723,194.7237370328328,70.84487208272107,53.226196599930205
栃木県,34469.0,156068.0,1368644.0,6003.0,238.0,1565422.0,1933146,28.8940411122595,301.6727293155995,1783.0520819431122,8073.265030163268,70798.79119321561,310.5300892948593,12.311537773142849,80977.94993239001,215.1932652784632,68.23074925535887,58.24702324604557
沖縄県,31447.0,214081.0,1225533.0,2601.0,1306.0,1474968.0,1467480,22.608621582576934,642.9012656675093,2142.9252868863628,14588.341919481016,83512.75656227002,177.24262000163546,88.99610216152861,100510.26249080055,208.04372120914763,51.85760623654156,61.19333823970344
滋賀県,44788.0,102193.0,629041.0,1118.0,931.0,778071.0,1413610,26.511979966185866,351.8736091681643,3168.3420462503805,7229.221638217047,44498.90705357206,79.08829167875156,65.8597491528781,55041.41877887112,237.76006112011092,70.88235086056267,56.23899095224284
熊本県,49946.0,265447.0,1466876.0,1826.0,1213.0,1785308.0,1738301,31.913920546556668,234.60562578109605,2873.2653320684967,15270.485376238064,84385.61560972467,105.04509863366587,69.78078019859622,102704.19219686349,292.2969037007975,71.27649354168237,84.50780388436755
石川県,14774.0,89729.0,733037.0,569.0,211.0,838320.0,1132526,29.79410627217388,270.5450671151361,1304.5175121807358,7922.908613135593,64725.84293870516,50.24167215587104,18.630918848662198,74022.14165502602,254.2987975551996,72.84600971633323,56.15765112677325
神奈川県,121789.0,389140.0,6833462.0,11205.0,4152.0,7359748.0,9237337,25.8224962454006,3823.227005392966,1318.442750329451,4212.685972158426,73976.53674430196,121.3011931902019,44.94801910983652,79673.91467908988,215.74399634873123,66.74001392392634,61.34884978213959
福井県,6454.0,56123.0,504577.0,1319.0,241.0,568714.0,766863,31.25877764346435,182.9994845508433,841.6105614692585,7318.517127570374,65797.54141222096,171.9994314499461,31.42673463187036,74161.0952673424,259.75956591985795,62.85346926374072,70.0255456320099
福岡県,133572.0,706613.0,5986861.0,29627.0,2489.0,6859162.0,5135214,27.70622606964384,1029.8212577534186,2601.0989999637795,13760.147094161995,116584.4500346042,576.9379815524728,48.4692556142743,133571.10336589674,253.8745220744452,74.19359738464648,67.41685935581263
福島県,20739.0,126531.0,563011.0,3235.0,173.0,713689.0,1833152,31.829711884230004,132.99225908487438,1131.330080647977,6902.37361659044,30712.728677163705,176.4720001396502,9.437297070837552,38932.34167161261,217.3851377299864,71.35251195754634,53.51438396815976
秋田県,5021.0,65270.0,280385.0,1769.0,115.0,352560.0,959502,36.44546858682941,82.44900975465563,523.2922912093982,6802.487123528664,29221.92970937007,184.36647344143103,11.985384084660584,36744.06098163423,247.52423653103375,73.05873255084408,50.44283388674542
群馬県,54473.0,203311.0,1135433.0,4848.0,786.0,1398851.0,1939110,29.64065989036208,304.7822478734039,2809.175343327609,10484.758471669991,58554.33678336969,250.01160326129,40.53405943963983,72138.81626106822,246.40169974885387,79.72729757466054,59.87282825626189
茨城県,53949.0,230067.0,1616990.0,3671.0,1177.0,1905854.0,2867009,29.714870096326862,470.2180840682348,1881.7171484289024,8024.634732573215,56399.89271048679,128.0428488365401,41.05323701460302,66475.34067734005,227.2403051403048,70.87525710592467,60.09747440625405
長崎県,21697.0,186248.0,1483391.0,13157.0,555.0,1705048.0,1312317,32.741326981209575,317.67691927823427,1653.3352840815137,14192.302622003675,113036.02711844776,1002.5778832401012,42.291610944611705,129926.53451871766,289.94518854819376,67.28557200737322,85.57383619963774
長野県,67195.0,313811.0,1279547.0,10344.0,1590.0,1672487.0,2048011,31.78679216078429,151.01588607800284,3280.9882368795866,15322.72043460704,62477.54528662199,505.0754121926103,77.63630175814485,81663.96567205938,275.8774244864896,85.35110407121837,62.841459347630455
青森県,7555.0,99156.0,437316.0,0.0,220.0,544247.0,1237984,34.02887274795151,128.34648608075773,610.2663685475742,8009.473466539148,35324.85072504976,0.0,17.7708274097242,43962.3613875462,196.5291958539044,64.94429653371934,44.75017447721457
静岡県,31852.0,366902.0,3273895.0,6320.0,760.0,3679729.0,3633202,29.83321598964219,467.1468595667206,876.6922400681273,10098.585214915109,90110.45903861112,173.95124190727628,20.918187317963604,101280.6059228196,241.6601113838427,62.64446623116469,65.91981398226687
香川県,35699.0,208059.0,915891.0,8621.0,200.0,1168470.0,950244,31.962632755376514,506.3161372137384,3756.824562954357,21895.32372737949,96384.82326644524,907.2406666077344,21.04722576517189,122965.259449152,288.13652072520324,82.08418048417037,78.40091597526529
高知県,20605.0,189857.0,745995.0,602.0,655.0,957714.0,691527,35.9631655741569,97.34839793176164,2979.637816021645,27454.74869383264,107876.48204625415,87.05372313734676,94.7179213537577,138492.64020059956,286.75669930458247,68.11013886659524,80.69099254259052
鳥取県,5586.0,80960.0,166786.0,878.0,351.0,254561.0,553407,32.5928295088425,157.79483509308182,1009.38369048458,14629.377655143502,30138.03583980687,158.65357684308293,63.42529097029853,45998.876053248336,301.40565623492296,70.2918466878807,79.14608958686826
鹿児島県,31371.0,359320.0,2516961.0,6406.0,235.0,2914293.0,1588256,32.83412749581932,172.8796807683851,1975.1853605464105,22623.556907702536,158473.25620051177,403.3354824411178,14.79610339894828,183490.1300546008,283.9592609755606,79.9619204964439,78.70267765398022
